Id,TagName,Count,ExcerptPostId,WikiPostId
1,deep-network,82,1797,1796
2,generalization,4,,
4,neurons,23,6022,6021
6,mindstorms,2,30,29
8,intelligent-agent,48,1765,1764
9,philosophy,153,2551,2550
12,fuzzy-logic,23,252,251
13,neural-networks,1091,1555,1554
14,image-recognition,178,1557,1556
15,turing-test,22,1282,1281
16,strong-ai,54,4019,4018
17,weak-ai,5,7312,7311
18,definitions,88,1637,1636
19,singularity,20,6064,6063
22,overfitting,22,5691,5690
23,optimization,86,5675,5674
25,emotional-intelligence,33,1802,1801
26,genetic-algorithms,105,1661,1660
27,machine-learning,995,1344,1343
32,terminology,113,5140,5139
34,markov-chain,13,6133,6132
36,performance,14,5996,5995
37,hidden-layers,21,5664,5663
39,history,37,1566,1565
44,models,62,4638,4637
46,legal,13,6078,6077
47,programming-languages,31,1278,1277
48,lisp,5,1721,1720
50,statistical-ai,25,6013,6012
53,heuristics,25,2686,2685
54,search,74,2608,2607
55,chess,28,1669,1668
56,comparison,112,1693,1692
58,unsupervised-learning,59,1652,1651
63,classical-ai,4,5151,5150
65,agi,56,1331,1330
66,declarative-programming,2,260,259
67,gofai,10,5313,5312
69,symbolic-computing,6,6513,6512
70,algorithm,156,1276,1275
72,self-driving,24,1559,1558
73,decision-theory,22,5923,5922
74,incompleteness-theorems,1,257,256
77,boltzmann-machine,8,,
81,efficiency,9,6494,6493
82,ultraintelligent-machine,5,4015,4014
83,hypercomputation,3,,
84,recurrent-neural-networks,109,5142,5141
86,halting-problem,3,,
87,training,153,1647,1646
88,deep-learning,698,2533,2532
89,convolutional-neural-networks,440,1793,1792
90,deepdream,2,1675,1674
92,neural-doodle,2,,
94,math,91,5611,5610
95,pattern-recognition,34,5662,5661
99,computer-vision,154,5877,5876
102,quantum-computing,9,1804,1803
103,handwritten-characters,4,195,194
107,new-ai,4,,
109,natural-language-processing,264,1680,1679
112,classification,171,1767,1766
113,knowledge-representation,34,5921,5920
114,time,5,5701,5700
115,embodied-cognition,3,,
119,intelligence-testing,24,1800,1799
120,ethics,41,5144,5143
121,research,83,1634,1633
122,chat-bots,57,2465,2464
123,human-inspired,10,6484,6483
124,text-summarization,14,13962,13961
126,watson,13,1586,1585
127,storage,7,6337,6336
128,lexical-recognition,3,1284,1283
130,ai-community,31,5693,5692
131,cyborg,2,6062,6061
133,mlp,16,2893,2892
135,hardware,28,5732,5731
136,problem-solving,31,263,262
137,world-knowledge,8,255,254
138,backpropagation,89,4662,4661
139,learning-theory,5,,
140,artificial-neuron,38,5609,5608
141,signal-processing,9,5635,5634
146,implementation,18,5734,5733
150,applications,71,5882,5881
155,ai-design,237,5533,5532
166,ocr,12,5948,5947
172,gradient-descent,63,2017,2016
177,robots,19,1474,1473
180,architecture,22,5366,5365
181,prediction,46,5631,5630
187,friendly-ai,3,13287,13286
188,death,4,1817,1816
189,reinforcement-learning,625,3869,3868
194,healthcare,8,5809,5808
197,biology,21,3611,3610
198,deep-blue,2,,
199,social,33,4904,4903
200,reasoning,15,,
201,multi-agent-systems,26,13354,13353
202,minimax,27,4546,4545
203,game-theory,29,1550,1549
206,datasets,105,5480,5479
208,real-time,11,,
210,linear-regression,35,5633,5632
214,action-recognition,9,5999,5998
216,lstm,84,2720,2719
220,gaming,33,1543,1542
221,branching-factors,5,,
222,deepmind,12,,
226,language-processing,4,6295,6294
228,genetic-programming,18,1511,1510
229,cyberterrorism,2,6060,6059
230,security,15,5946,5945
231,challenges,7,,
232,control-problem,28,5146,5145
234,prolog,6,5640,5639
236,evolutionary-algorithms,67,2652,2651
239,computer-programming,7,1564,1563
240,object-recognition,73,5677,5676
242,keras,113,1573,1572
249,learning-algorithms,45,5556,5555
251,path-planning,16,9149,9148
252,robotics,32,6058,6057
265,detecting-patterns,21,,
266,asimovs-laws,4,1673,1672
270,nasa,3,5687,5686
272,deepdreaming,3,1677,1676
273,computational-linguistics,12,1682,1681
274,structured-data,12,1684,1683
276,voice-recognition,20,5935,5934
282,reference-request,43,5545,5544
283,logic,39,5679,5678
284,thought-vectors,2,,
285,ai-box,3,13708,13707
287,human-like,38,5660,5659
288,cognitive-science,23,6201,6200
292,tensorflow,142,4501,4500
295,expert-system,10,,
301,swarm-intelligence,15,5311,5310
302,software-architecture,3,5368,5367
303,game-ai,155,4503,4502
304,hci,1,3129,3128
306,google,14,3609,3608
315,linear-algebra,8,5913,5912
317,combinatorics,8,6024,6023
318,dropout,11,12132,12131
319,ai-safety,12,5911,5910
320,value-alignment,5,,
322,go,5,4505,4504
326,intelligence-augmentation,2,,
330,neo-luddism,9,4811,4810
332,superintelligence,22,4017,4016
333,htm,3,4057,4056
334,combinatorial-games,23,4105,4104
335,imperfect-information,5,4107,4106
336,incomplete-information,3,4109,4108
337,cfg,1,4189,4188
338,poker,4,4206,4205
339,deepstack,1,4204,4203
342,perceptron,16,5644,5643
343,russell-norvig,3,4404,4403
344,knapsack-problem,2,4406,4405
346,negamax,1,4544,4543
347,artificial-consciousness,31,4540,4539
348,sentience,4,4542,4541
349,scene-classification,1,4689,4688
350,rul,1,4691,4690
351,facial-recognition,20,4702,4701
352,getting-started,77,4800,4799
353,python,170,4802,4801
354,ai-basics,141,4804,4803
355,automation,19,4809,4808
356,ai-takeover,4,4807,4806
357,fitness-functions,8,4813,4812
358,q-learning,120,4815,4814
362,praxis,1,4967,4966
363,graphs,18,5391,5390
364,software-evaluation,32,4981,4980
366,pathfinding,7,5032,5031
367,theory,65,5034,5033
368,hardware-evaluation,13,5128,5127
369,matlab,19,5184,5183
370,data-science,38,5182,5181
372,alphago,13,6843,6842
373,self-replication,2,5219,5218
374,universal-constructor,1,5216,5215
375,alphazero,23,6036,6035
377,brain,17,5642,5641
378,super-organism,1,5754,5753
379,r,6,5305,5304
380,node-js,2,5307,5306
381,genes,1,5750,5749
385,neat,47,5525,5524
386,generative-model,37,5564,5563
387,javascript,8,5613,5612
389,time-complexity,8,10796,10795
392,java,13,5828,5827
393,c++,8,5830,5829
395,norvig-russell,1,5784,5783
397,art-aesthetics,3,5786,5785
398,ai-field,4,5788,5787
401,open-source,5,5824,5823
402,emergence,4,5887,5886
403,sentiment-analysis,10,6364,6363
404,self-play,5,5897,5896
405,perfect-play,1,5895,5894
408,early-stopping,1,6348,6347
409,regularization,9,6362,6361
411,wetware,1,6253,6252
412,word2vec,14,6107,6106
413,teaching-concepts,2,,
414,autoencoders,34,6147,6146
415,mythology-of-ai,13,6160,6159
416,decision-tree,15,6181,6180
417,chinese-room-argument,2,6226,6225
418,semantics,9,6354,6353
419,rationality,4,6358,6357
420,intelligence,6,6360,6359
421,brute-force,1,6352,6351
422,bayes,15,6356,6355
423,open-ai,31,6350,6349
424,self-awareness,9,6373,6372
425,sense,3,,
426,concepts,27,6624,6623
427,academia,13,6652,6651
428,real-world,4,6650,6649
429,soft-question,19,6656,6655
430,ltsm,3,6735,6734
431,feedforward,19,6738,6737
432,som,1,6747,6746
433,digital-rights,3,,
434,dqn,65,6829,6828
435,alphago-zero,12,6845,6844
436,google-cloud,2,,
440,profession,11,6958,6957
441,topology,24,7319,7318
443,structure,4,,
444,feedback,3,,
445,graph-theory,9,7093,7092
446,alpha-beta-pruning,8,7163,7162
447,marketability,1,8448,8447
449,svm,10,7212,7211
450,collaboration,3,,
452,autonomous-vehicles,31,9295,9294
454,checkers,2,,
455,activation-function,31,9341,9340
456,relu,10,7283,7282
457,monte-carlo-tree-search,49,7285,7284
458,risk-management,9,9473,9472
460,dimensionality,3,,
462,generative-adversarial-networks,44,8897,8896
463,convergence,16,12693,12692
465,categorical-data,5,,
466,automated-theorem-proving,2,8446,8445
467,long-short-term-memory,7,,
468,attention,13,8450,8449
469,sequence-modelling,14,,
472,predicting-ai-milestones,2,,
473,resource-request,4,7502,7501
474,value-iteration,8,13138,13137
476,breadth-first-search,6,7567,7566
477,discount-factor,6,7586,7585
478,sigmoid,3,7669,7668
479,survival,3,,
480,simple-reflex-agents,2,,
481,neuromorphic-engineering,13,7823,7822
482,analog-computing,1,8456,8455
483,feature-selection,15,13227,13226
486,loss-functions,56,13253,13252
487,speech-synthesis,4,8454,8453
488,spiking-networks,3,8452,8451
490,quantification,3,,
491,chaos,2,,
492,hyper-parameters,10,,
494,reliability,2,8442,8441
495,embedded-design,6,8316,8315
496,quality-control,2,8314,8313
497,reward-clipping,3,8444,8443
499,audio-processing,9,,
504,collision-avoidance,1,9291,9290
505,ai-development,3,,
507,goal-based,3,8727,8726
508,utility-based,2,8725,8724
509,mdp,5,11620,11619
514,cognition,2,9262,9261
515,symbolic-ai,8,8834,8833
516,quotes,1,8837,8836
517,invention,1,9268,9267
518,feasibility,2,9339,9338
519,rule-acquisition,2,9266,9265
521,mapping-space,3,,
522,proofs,24,9289,9288
523,online-resources,3,9064,9063
524,markov-decision-process,24,,
525,finite-markov-decision-process,2,,
526,random-variable,4,13066,13065
527,probability-distribution,15,9260,9259
528,latent-variable,4,,
529,anthropomorphism,1,9168,9167
530,a-star,8,10853,10852
531,maximum-likelihood,2,,
532,fallibility,1,9256,9255
533,forecasting,8,9258,9257
535,papers,17,10768,10767
536,active-learning,3,13058,13057
537,accessibility,1,9390,9389
539,greedy-ai,5,9488,9487
544,image-generation,12,,
545,machine-translation,11,13305,13304
547,memory,4,,
550,policy-gradients,24,11315,11314
551,rewards,23,11089,11088
554,artificial-life,8,9800,9799
555,distributed-computing,3,,
556,integration,2,,
558,deepfakes,5,,
559,meta-rules,2,,
561,feature-extraction,7,13229,13228
569,planning,10,10753,10752
570,creativity,1,10755,10754
574,blockchain,3,,
575,pytorch,18,10751,10750
576,education,4,13054,13053
577,experience-replay,12,10749,10748
578,actor-critic,25,10747,10746
580,stochastic-policy,3,10718,10717
581,deterministic-policy,4,10745,10744
582,on-policy,6,10708,10707
583,off-policy,7,10710,10709
584,policy,15,10681,10680
585,ai-a-modern-approach,3,10677,10676
586,deep-rl,54,10679,10678
587,rl-an-introduction,18,10657,10656
588,algorithmic-trading,1,10544,10543
589,markov-property,4,10714,10713
590,atari-games,3,10763,10762
591,gpu,9,,
592,cloud-services,3,,
597,value-function,6,10761,10760
598,return,4,10667,10666
599,environment,11,10696,10695
600,monte-carlo,17,10673,10672
601,temporal-difference,12,10671,10670
602,pomdp,5,10600,10599
603,expectation,3,10700,10699
604,prioritized-sweeping,3,,
605,gym,7,10669,10668
606,semi-mdp,4,10665,10664
607,notation,9,10692,10691
608,proximal-policy-optimization,12,13469,13468
609,optimal-policy,1,10716,10715
610,model-based,10,10688,10687
611,model-free,5,10690,10689
612,eligibility-traces,3,10694,10693
613,dyna,2,12904,12903
614,supervised-learning,23,10633,10632
615,self-supervised-learning,2,10706,10705
616,advantage-actor-critic,2,10757,10756
617,reinforce,9,10655,10654
618,bayesian-network,4,10712,10711
619,hierarchical-rl,3,10759,10758
620,data-mining,6,11608,11607
621,calculus,1,10766,10765
622,policy-iteration,1,10770,10769
623,stationary-policy,2,13090,13089
624,simulated-annealing,5,10787,10786
625,sarsa,3,10801,10800
626,expected-sarsa,1,10803,10802
627,expectation-maximization,1,10805,10804
628,satisfiability,2,10884,10883
629,constraint-satisfaction-problems,7,10886,10885
630,importance-sampling,3,,
631,dynamic-programming,2,10878,10877
633,crossover,2,10874,10873
634,mutation,3,10876,10875
635,hill-climbing,13,10880,10879
636,local-search,4,11180,11179
638,popular-culture,1,11161,11160
639,geometric-deep-learning,20,11168,11167
640,convolution,8,13611,13610
641,anomaly-detection,7,,
642,incentivization,1,,
643,linear-programming,1,11248,11247
644,clustering,5,11829,11828
645,k-means,5,13155,13154
646,k-medoids,1,,
647,hierarchical-clustering,1,,
648,causation,3,11863,11862
649,dimensionality-reduction,1,11423,11422
650,curse-of-dimensionality,1,11425,11424
651,metric,3,,
652,meta-learning,2,,
653,recommender-system,12,12383,12382
654,ddpg,7,11647,11646
655,journalism,1,11657,11656
659,function-approximation,19,11827,11826
660,open-cog,2,11688,11687
661,logistic-regression,5,,
663,hebbian-learning,2,11797,11796
665,incremental-learning,10,11859,11858
666,online-learning,9,11861,11860
667,iterative-deepening-a-star,1,11865,11864
668,word-embedding,24,11855,11854
669,glove,1,11857,11856
670,naive-bayes,4,12385,12384
671,aixi,2,11893,11892
672,bayes-theorem,3,11898,11897
673,action-model-learning,2,11917,11916
674,control-theory,6,11919,11918
675,scheduling,1,,
676,state-of-the-art,3,11970,11969
677,ai-hoaxes,1,12057,12056
678,ontology,2,12074,12073
680,random-forest,1,12381,12380
681,conditional-probability,4,12379,12378
682,image-segmentation,6,12106,12105
684,transfer-learning,11,12109,12108
685,trpo,5,12112,12111
686,liquid-state-machine,1,12387,12386
687,ai-complete,4,12149,12148
688,fourier-approximation,1,,
689,time-series,11,12375,12374
690,feature,10,12200,12199
691,semi-supervised-learning,2,12377,12376
692,similarity,2,,
693,software-development,2,,
694,black-box,1,12329,12328
695,games-of-chance,2,12333,12332
696,cross-validation,5,12338,12337
697,underfitting,2,12373,12372
698,regression,15,12393,12392
699,branch-and-bound,1,12932,12931
700,data-visualization,1,,
701,neural-architecture-search,3,12437,12436
702,hyperparameter-optimization,9,12439,12438
703,materials-science,1,12478,12477
704,ant-colony,6,12547,12546
705,infinite-horizon,1,,
706,rts,1,12707,12706
707,benchmarks,1,12709,12708
709,economics,1,12819,12818
710,probability,26,12852,12851
711,object-detection,20,13033,13032
713,explainable-ai,6,12868,12867
714,hidden-markov-model,4,12877,12876
715,image-processing,17,13012,13011
716,automated-reasoning,1,13021,13020
717,pretrained-models,1,,
719,business,1,13073,13072
720,non-stationary-policy,1,,
721,complexity-theory,2,13105,13104
722,data-preprocessing,7,13113,13112
723,parameter,2,13334,13333
724,feature-learning,2,13225,13224
725,neuroevolution,23,13250,13249
726,common-sense-knowledge,1,,
727,catastrophic-forgetting,5,13295,13294
728,batch-normalization,1,,
730,graphical-model,2,,
731,conditional-random-field,3,,
732,learning-curve,2,,
733,uct,1,,
735,scikit-learn,1,13486,13485
736,gradient-boosting,1,13484,13483
737,hopfield-network,1,13514,13513
738,cognitive-architecture,2,13533,13532
739,soar,1,13535,13534
740,strips,2,13537,13536
742,pretra,1,,
744,scalability,1,13665,13664
745,computational-complexity,2,13714,13713
747,randomness,1,13728,13727
748,computation,1,,
749,algorithmic-bias,3,13872,13871